Longitude	Latitude	FID	solmutunnu	linjoja	lyhyt_nro	nimi_s	nimi_r	nousijat	nettiosoit	P_koord	I_koord
24.64654984	60.15010169	5677	2413257	10	E4055	Puosunrinne	Båtsmansbrinken	345	http://aikataulut.hsl.fi/pysakit/fi/2413257.html	6671112	2536092
24.73896428	60.15987809	5678	2314219	0	E3155	Matinkylä (M)	Mattby (M)	0	http://aikataulut.reittiopas.fi/pysakit/fi/2314219.html	6672255	2541213
24.73811562	60.1750429	5679	2322235	7	E3241	Itäportti	Österporten	90	http://aikataulut.hsl.fi/pysakit/fi/2322235.html	6673944	2541147
24.74193544	60.24057144	5680	2141205	7	E1404	Lähderannanristi	Källstrandskorset	140	http://aikataulut.hsl.fi/pysakit/fi/2141205.html	6681247	2541277
24.70821302	60.22721131	5681	2152229	5	E1527	Linnustaja	Fågelfängaren	42	http://aikataulut.hsl.fi/pysakit/fi/2152229.html	6679738	2539425
24.80833692	60.24431275	5682	2117229	3	E1950	Paikkalinnuntie	Stannfågelsvägen	37	http://aikataulut.hsl.fi/pysakit/fi/2117229.html	6681707	2544950
24.65021885	60.15174427	5683	2413258	3	E4021	Ulappatori	Fjärdtorget	0	http://aikataulut.reittiopas.fi/pysakit/fi/2413258.html	6671297	2536294
24.72647881	60.15718254	5684	2314220	7	E3136	Kalaonni	Fiskelyckan	4	http://aikataulut.hsl.fi/pysakit/fi/2314220.html	6671947	2540523
24.73760377	60.17471366	5685	2322236	7	E3242	Itäportti	Österporten	276	http://aikataulut.hsl.fi/pysakit/fi/2322236.html	6673907	2541119
24.7061551	60.2254989	5686	2152230	5	E1528	Linnustaja	Fågelfängaren	56	http://aikataulut.hsl.fi/pysakit/fi/2152230.html	6679546	2539313
24.76379099	60.24105793	5687	2141206	1	E1467	Veininkatu	Sveinsgatan	28	http://aikataulut.hsl.fi/pysakit/fi/2141206.html	6681315	2542487
24.8087119	60.24707492	5688	2117230	3	E1951	Muuttolinnunmäki	Flyttfågelsbacken	0	http://aikataulut.hsl.fi/pysakit/fi/2117230.html	6682015	2544967
24.6244255	60.15588932	5689	2413900	0	XE4020	Marinsatama	Marishamnen	0	 	6671745	2534857
24.72618891	60.15628653	5690	2314221	5	E3137	Kalaonni	Fiskelyckan	88	http://aikataulut.hsl.fi/pysakit/fi/2314221.html	6671847	2540508
24.73332109	60.17495278	5691	2322237	7	E3243	Alaportti	Nederporten	139	http://aikataulut.hsl.fi/pysakit/fi/2322237.html	6673931	2540881
24.80820042	60.24683572	5692	2117231	3	E1952	Muuttolinnunmäki	Flyttfågelsbacken	26	http://aikataulut.hsl.fi/pysakit/fi/2117231.html	6681988	2544939
24.71097356	60.22802224	5693	2152231	5	E1529	Kolkeranta	Klappstranden	21	http://aikataulut.hsl.fi/pysakit/fi/2152231.html	6679830	2539577
24.74892365	60.24380838	5694	2141207	7	E1405	Kuttulammentie	Kututräskvägen	81	http://aikataulut.hsl.fi/pysakit/fi/2141207.html	6681612	2541660
24.65414505	60.1454599	5695	2414219	7	E4061	Näkinkaari	Näckens båge	184	http://aikataulut.hsl.fi/pysakit/fi/2414219.html	6670599	2536519
24.72520939	60.16086951	5696	2314222	0	E3138	Tiistinniitty	Distängen	2	http://aikataulut.hsl.fi/pysakit/fi/2314222.html	6672357	2540448
24.73350928	60.17450303	5697	2322238	7	E3244	Alaportti	Nederporten	368	http://aikataulut.hsl.fi/pysakit/fi/2322238.html	6673881	2540892
24.80901537	60.23667918	5698	2117232	3	E1953	Lintuparvenaukio	Fågelflocksgården	21	http://aikataulut.hsl.fi/pysakit/fi/2117232.html	6680857	2544998
24.64739717	60.14375169	5699	2414255	1	E4062	Krattivuori	Skrattberget	123	http://aikataulut.hsl.fi/pysakit/fi/2414255.html	6670405	2536146
24.72484877	60.16002784	5700	2314223	3	E3139	Tiistinniitty	Distängen	32	http://aikataulut.hsl.fi/pysakit/fi/2314223.html	6672263	2540429
24.76378241	60.2375843	5701	2141208	1	E1471	Vanha Rastaalantie	Gamla Trastmossav.	18	http://aikataulut.hsl.fi/pysakit/fi/2141208.html	6680928	2542491
24.70965817	60.22811905	5702	2152232	5	E1530	Kolkeranta	Klappstranden	79	http://aikataulut.hsl.fi/pysakit/fi/2152232.html	6679840	2539504
